OBJECTID,ROADPREMOD,ROADPREDIR,ROADNAME,ROADTYPE,ROADPOSTDIR,ROADPOSTMOD,FULLNAME,ALTROADNAME,MSAGNAME,MUNICIPALITY,STATUS,LASTUPDATE,LASTEDITOR,ROADPRETYPE,FULLNAMECASS,CapCASSStName,JoinID
872544,,,Aster,St,,,Aster Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Aster St,ASTER ST,131
872545,,,Athis,Ct,,,Athis Court,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Athis Ct,ATHIS CT,132
872546,,,Athis,St,,,Athis Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Athis St,ATHIS ST,133
872547,,,Atlanta,St,,,Atlanta Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Atlanta St,ATLANTA ST,134
872548,,,Atlantic,Ave,,,Atlantic Avenue,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Atlantic Ave,ATLANTIC AVE,135
872549,,,Aubry,St,,,Aubry Street,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Aubry St,AUBRY ST,136
872550,,,Audubon,Blvd,,,Audubon Boulevard,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Audubon Blvd,AUDUBON BLVD,137
872551,,,Audubon,Ct,,,Audubon Court,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Audubon Ct,AUDUBON CT,138
872552,,,Audubon,Pl,,,Audubon Place,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Audubon Pl,AUDUBON PL,139
872553,,,Audubon,St,,,Audubon Street,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Audubon St,AUDUBON ST,140
872554,,,Aurora,Dr,,,Aurora Drive,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Aurora Dr,AURORA DR,141
872555,,,Aurora Oaks,Dr,,,Aurora Oaks Drive,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Aurora Oaks Dr,AURORA OAKS DR,142
872556,,,Austerlitz,St,,,Austerlitz Street,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Austerlitz St,AUSTERLITZ ST,143
872557,,,Avalon,Way,,,Avalon Way,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Avalon Way,AVALON WAY,144
872558,,,Aviators,St,,,Aviators Street,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Aviators St,AVIATORS ST,145
872559,,,Avon Park,Blvd,,,Avon Park Boulevard,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Avon Park Blvd,AVON PARK BLVD,146
872560,,,Avoyelles,Pl,,,Avoyelles Place,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Avoyelles Pl,AVOYELLES PL,147
872561,,,Aymard,Ct,,,Aymard Court,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Aymard Ct,AYMARD CT,148
872562,,,Azalea,Ln,,,Azalea Lane,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Azalea Ln,AZALEA LN,149
872563,,,Azalea,Pl,,,Azalea Place,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Azalea Pl,AZALEA PL,150
872564,,,Babylon,St,,,Babylon Street,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Babylon St,BABYLON ST,151
872565,,,Bacchus,Dr,,,Bacchus Drive,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Bacchus Dr,BACCHUS DR,152
872566,,,Baccich,St,,,Baccich Street,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Baccich St,BACCICH ST,153
872567,,,Bailey,St,,,Bailey Street,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Bailey St,BAILEY ST,154
872568,,,Balsam,Ln,,,Balsam Lane,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Balsam Ln,BALSAM LN,155
872569,,,Bamberry,St,,,Bamberry Street,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Bamberry St,BAMBERRY ST,156
872570,,,Bamboo,Rd,,,Bamboo Road,,,Jefferson,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Bamboo Rd,BAMBOO RD,157
872571,,,Bancroft,Dr,,,Bancroft Drive,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Bancroft Dr,BANCROFT DR,158
872572,,,Banks,St,,,Banks Street,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Banks St,BANKS ST,159
872573,,,Barber,St,,,Barber Street,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Barber St,BARBER ST,160
872574,,,Barkley,Pl,,,Barkley Place,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Barkley Pl,BARKLEY PL,161
872575,,,Baronne,St,,,Baronne Street,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Baronne St,BARONNE ST,162
872576,,,Barracks,St,,,Barracks Street,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Barracks St,BARRACKS ST,163
872577,,,Barrett,St,,,Barrett Street,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Barrett St,BARRETT ST,164
872578,,,Barrington,Ct,,,Barrington Court,,,Orleans,Current,2015/02/23 13:50:13+00,CITYOFNO\cmard,,Barrington Ct,BARRINGTON CT,165
872579,,,Barrington,Dr,E,,Barrington Drive East,,,Orleans,Current,2015/02/23 13:50:15+00,CITYOFNO\cmard,,Barrington Dr E,BARRINGTON DR E,166
872580,,,Barrington,Dr,W,,Barrington Drive West,,,Orleans,Current,2015/02/23 13:50:16+00,CITYOFNO\cmard,,Barrington Dr W,BARRINGTON DR W,167
872581,,,Bartholomew,St,,,Bartholomew Street,,,Orleans,Current,2015/02/23 13:50:16+00,CITYOFNO\cmard,,Bartholomew St,BARTHOLOMEW ST,168
872582,,,Basin,St,,,Basin Street,,,Orleans,Current,2015/02/23 13:50:16+00,CITYOFNO\cmard,,Basin St,BASIN ST,169
